_tuning_objective_metric,alpha,colsample_bytree,eta,eval_metric,lambda,max_depth,min_child_weight,num_round,objective,subsample,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
validation:auc,2.465210057030828,0.7944288599464302,0.05972916223563948,auc,1.130446625747541,6,1.0602747761296238,200,binary:logistic,0.701081805747765,umass-churn-hpo-260725-2158-009-d35ff02c,Completed,0.983739972114563,2026-07-25 22:06:13.102000+00:00,2026-07-25 22:07:02.234000+00:00,49
validation:auc,2.5818495792611094,0.7358334901031843,0.046424394082805166,auc,6.062795569138858,6,2.062458314678033,200,binary:logistic,0.95759968173562,umass-churn-hpo-260725-2158-007-2808a6e9,Completed,0.9827799797058105,2026-07-25 22:05:06.550000+00:00,2026-07-25 22:05:50.450000+00:00,44
validation:auc,4.92033890013226,0.6056999346645887,0.11499964012992787,auc,0.5518888864632215,7,8.44625402075436,200,binary:logistic,0.9223877685194181,umass-churn-hpo-260725-2158-002-707d6516,Completed,0.9827499985694885,2026-07-25 21:59:23.462000+00:00,2026-07-25 22:01:28.689000+00:00,125
validation:auc,2.8210483129514454,0.9492170827111802,0.25352445936517654,auc,2.9652780292628744,3,2.0387057390898775,200,binary:logistic,0.7385045606724435,umass-churn-hpo-260725-2158-008-96cc80dc,Completed,0.982729971408844,2026-07-25 22:05:10.845000+00:00,2026-07-25 22:05:55.144000+00:00,45
validation:auc,0.9567367635024193,0.6876853840359409,0.09059409753580872,auc,0.70052368369019,10,2.633629220545439,200,binary:logistic,0.7196020340185149,umass-churn-hpo-260725-2158-006-a2d7f4b8,Completed,0.9823099970817566,2026-07-25 22:04:01.749000+00:00,2026-07-25 22:04:51.631000+00:00,50
validation:auc,4.624448305673136,0.8730968826005763,0.19218241649940554,auc,6.913096756754756,10,4.454325819852006,200,binary:logistic,0.7995379451202027,umass-churn-hpo-260725-2158-001-427d23df,Completed,0.9822700023651123,2026-07-25 21:59:22.130000+00:00,2026-07-25 22:01:27.050000+00:00,125
validation:auc,0.1355771652964749,0.7731298502710631,0.07122598579757668,auc,1.7183330069587934,4,2.0223556165872982,200,binary:logistic,0.7225062620346263,umass-churn-hpo-260725-2158-003-ce007b21,Completed,0.9821699857711792,2026-07-25 22:02:01.101000+00:00,2026-07-25 22:02:50.156000+00:00,49
validation:auc,3.686476676323636,0.9287039814126892,0.027810101651285786,auc,2.510328309643788,9,9.456134834798101,200,binary:logistic,0.7998159325800321,umass-churn-hpo-260725-2158-005-1060c34b,Completed,0.9821000099182129,2026-07-25 22:04:00.190000+00:00,2026-07-25 22:04:49.075000+00:00,49
validation:auc,2.080651347560028,0.9928352265597447,0.02663678184219022,auc,5.798031558055233,6,9.987449758661139,200,binary:logistic,0.9546810520613478,umass-churn-hpo-260725-2158-004-43d987b0,Completed,0.9815800189971924,2026-07-25 22:02:02.946000+00:00,2026-07-25 22:02:46.885000+00:00,44
validation:auc,4.940934869091267,0.655701555966925,0.029660336512497575,auc,1.1538299044276705,10,7.66049754053719,200,binary:logistic,0.9786636358265475,umass-churn-hpo-260725-2158-010-58614242,Completed,0.9797899723052979,2026-07-25 22:06:15.237000+00:00,2026-07-25 22:07:04.297000+00:00,49
